date,note,amount
2025-01-08/16:32;16:32:12,food,123456
2025-01-07/14:21;14:21:55,rent,450000
2025-01-06/10:15;10:15:34,shopping,20000
2025-01-05/12:45;12:45:18,travel,75000
2025-01-04/09:30;09:30:01,gift,30000
2025-01-03/20:40;20:40:59,anonymous,1234567
2025-01-03/18:22;18:22:48,big num,987654
2025-01-02/15:11;15:11:10,food,45000
2025-01-02/13:05;13:05:29,shopping,750000
2025-01-01/22:50;22:50:40,rent,90000
2025-01-01/18:45;18:45:33,travel,123000
2025-01-01/08:12;08:12:15,gift,21000
2024-12-31/23:59;23:59:59,anonymous,500000
2024-12-30/11:05;11:05:23,big num,1250000
2024-12-29/17:30;17:30:30,food,33333
2024-12-29/12:20;12:20:05,rent,56000
2024-12-28/21:10;21:10:12,shopping,220000
2024-12-27/19:15;19:15:45,travel,89000
2024-12-26/14:30;14:30:50,gift,12000
2024-12-25/09:45;09:45:37,anonymous,98765
